,pH,Chloride,Sulfate,Sodium,Potassium,Magnesium,Calcium,Alkalinity,Barium,Chromium,Silicon,Strontium,Vanadium,Zinc
Kalaoa Deepwell,7.78,9.8,28.53,31.45,5.27,11.4,12.375,93,0,0.0026,23.4375,0.025875,0.087583333,0.003225
Holualoa Deepwell,7.85,224,36.445,130,7.65,24.045,26,54,0.01055,0.0017,19.29,0.132625,0.0387,0.00855
Queen Liliuokalani Trust (Keahuolu) Deepwell,7.93,6.5,10.05,16.7,3.3,6,10.13,56,0.0036,0.00215,20.22,0.0243,0.056,0.00205
Honokohau Deepwell,7.825,7.8,20.02,25.7,4.165,7.755,10.1,76,0.00205,0.0009,23.0325,0.0123,0.0379,0.003375
Puu Lani,8.145,41,48.8,53.6,3.86,10.53,17.39,79,0.0009,0.0031,18.93,0.04585,0.134866667,0.002
Puu Waawaa,8.15,21,25.4,34.5,2.92,7.8,11.41,68.5,0,0.0024,19.855,0.03,0.112533333,0.03895
NELHA Well #3B,7.93,4336,620.8,2391,85,357.58,87.1,85,0,0,17.3925,1.705375,0.072466667,0.001375
NELHA Well #3A,7.96,4517,640.4,2629.2,91,366.3,83.7,85,0,0,17.5,1.6,0.0628,0
NELHA Well #3,7.77,14907,2139.7,8291.5,285.87,1179.2,226.31,98.5,0,0,9.40625,5.29625,0,0
NELHA Well #9B,7.76,8441.3,1218.3,4893.2,161.15,717.88,157.82,92,0,0,13.45,3.089,0.0534,0
NELHA Well #9A,7.71,11537,1640.4,6379,223,939.4,180.27,100,0,0,11.003,4.2025,0,0
NELHA Well #9,7.76,13152,1871,7328.9,253.37,1071.8,215.47,102,0,0,9.4025,4.6975,0,0
NELHA A3,7.785,7459,1064.6,4464.1,146,632.8,120.2,87,0.0063,0,14.92,2.7565,0.0474,0.008
NELHA A2,7.775,6021,843.6,3715.9,120,498,104,85,0.005,0,16.36,2.173,0.065333333,0.0055
NELHA Well #12B,8.01,5555,761.8,3207.7,114,430.5,92.5,97,0.0028,0.002,19.68625,1.892875,0.0811,0.00075
NELHA Well #12A,7.84,12521,1779,7060.8,247.2,1026.7,198,98,0,0,13.06,4.21875,0,0
NELHA Well #12,7.8,15316,2188,8671,305.2,1193.33,230.09,103,0,0,8.66875,5.45125,0,0
NELHA A1,7.99,7909,1132.2,5183,159,609.64,141.23,108,0.015,0,14.895,2.5495,0.0705,0.003
Kohanaiki #1,7.93,5491,766.9,3546,110,352.8,75.4,,0.0057,0,17.28,1.73,0.0526,0
Kohanaiki #5,7.92,4157.4,589.1,2471.7,88.1,354.3,76.8,83.5,0,0,17.34,1.5975,0.0562,0
Kohanaiki #4,7.87,4426,638,2440,87,355.85,81.24,80.5,0,0,17.505,1.69,0.0558,0
Kohanaiki #2,7.835,5355,755.45,3210.5,105.5,399.25,103,77,0.0025,0,8.455,0.9,0.028,0
Kohanaiki #7,7.815,4717.25,673.05,2715.6,94.8,392.345,87.485,76,0,0,17.13375,1.716,0.071983333,0.0015
Kohanaiki #3,7.95,5299,739.7,3422,106,341.7,73.5,,0.0051,0,17.67,1.7,0.059,0
Kohanaiki #6,7.745,5213.5,739.675,2974.05,103,423.77,94.635,84,0,0,16.8175,1.806,0.0633,0
Kohanaiki A2,7.46,6724,929.6,4126,133,466.29,123.63,84,0.0065,0,14.395,2.501,0.0407,0.0035
Kohanaiki A30,7.72,6490,900.4,3855,131,412,107.5,88.5,0,0,14.28,1.958,0.0411,0
Kohanaiki A43,8.055,7260,1032.5,4329.5,141.5,560.65,143.35,88,0.03405,0,14.455,2.5235,0.02335,0.00975
Kohanaiki A5,8.05,7149,993.3,4572,141,459.2,101.4,,0.0067,0,14.56,2.02,0.0397,0
Kohanaiki A69,7.59,7900,1130,4358,152,548,119.3,84,0.021,0,13.05,2.4595,0.0286,0.0045
Kohanaiki A76,8.26,,,,,,,,0,0,0,0,0,0
Kohanaiki A172,8.23,7533,1099,4139,144,594.06,134.5,87.5,0.0105,0,10.76,3.0115,0,0
Kohanaiki A121,7.98,8395,1189.9,5447,165,538.3,116.8,76,0.0079,0,12.28,2.28,0.025,0
Kohanaiki A139,8.21,9398,1340,5626,182.5,752.55,186.5,94,0.0509,0,12.025,3.205,0.01695,0.012
QLT A30,7.7,7138,975.8,4603,142,491.3,99.4,,0.006,0,13.43,2.34,0.0262,0
QLT A5,7.765,10010.45,1404.1,5739.8,200.15,792.55,156.35,84,0.00395,0,10.7195,3.43125,0.038183333,0.011
QLT A8,7.225,7981.8,1095.35,4562,159.35,624.22,131.57,74,0.01075,0,12.1835,2.76675,0.0386,0.00225
QLT A36,7.09,7546.25,1032.9,4362.45,153.8,628.1,129.3,80,0.01075,0,12.93,2.633125,0.04495,0.00225
QLT A4S,7.055,8029.6,1121.2,4626.35,162.35,654.74,132.36,77,0.00315,0,12.1965,2.82675,0.037,0.00175
QLT A1,7,7437.65,1027.3,4242.85,149.9,584.435,124.2,79,0.0031,0,12.9175,2.575,0.0215,0.005
QLT A32,6.885,8892.65,1226.7,5368.25,174.55,667.2,147.1,78,0.0034,0,12.0785,2.8055,0,0
QLT Maka Eo,7.64,7636.8,1044.7,4385.95,151.15,597.82,122.46,76,0.00295,0,12.953,2.5285,0.04645,0.00675
Parker Ranch Deepwell,7.85,8,3.1,12,2.7,7.5,10.9,64,0,0,22.57,0.0995,0.007,0.02065
Parker #2 Deepwell,7.89,112,27.7,76.4,6.31,22.95,16.7,84,0.0061,0.0041,24.935,0.0869,0.054166667,0.00375
Lalamilo B Deepwell,7.83,76.9,22.8,54.5,5.45,19.23,14.86,82,0.0043,0.0037,25.17,0.06955,0.050566667,0.00235
Lalamilo A Deepwell,7.9,73,21.3,54,5.23,18.4,14.46,82,0.0045,0.00345,26.89,0.07,0.046066667,0.01165
Parker #4 Deepwell,7.91,124.4,31.6,83.2,6.7,23,16,84,0.006,0.00405,25.345,0.08515,0.053733333,0.00225
Lalamilo C Deepwell,7.855,95.6,24.7,64.9,6.22,19.815,15.08,80,0.00585,0.0036,26.07,0.07755,0.049616667,0.00225
Kahaluu B Deepwell,7.95,251.8,42.94,148.15,5.96,23.895,26.245,42.5,0.01015,0.00185,20.225,0.159725,0.044416667,0.004125
Kahaluu D Deepwell,7.52,242,41.8,144,6,23.8,25.1,42,0.0103,0.0017,20.21,0.153,0.046866667,0
Kahaluu C Deepwell,7.85,56.4,16.6,38,3.05,8.3,13.3,42,0,0.002,20.34,0.04415,0.048533333,0.0065
Kahaluu A Deepwell,7.92,138,27.4,82,4.5,14.55,21.45,42.5,0,0.001,22.275,0.09875,0.0443,0.01755
Palani Ranch Deepwell,7.975,8.5,22.15,26.5,4,8.6,11.45,76,0.00305,0.001075,23.61,0.025375,0.073583333,0.006025
Ocean End Member 28m,7.98,19484,2749.6,11117.9,386.8,1597.97,314.96,117,0,0,0,6.83,0,0.01875
Ocean End Member 674m,7.52,19747,2769.6,11035,387,1582.19,319.14,120,0,0,2.184,6.942,0,0.0075
Ocean End Member 900m,7.42,20055,2865.3,11385,391.1,1552.9,300.7,123,0,0,3.22,7.356,0,0
Keei B Deepwell,7.425,245,39.3,147,6,23.8,16.5,37.5,0,0,24.51,0.125,0.043,0.1606
Keei D Deepwell,7.79,4,10.5,13,1.79,3.8,8.19,38,0,0.0014,19.475,0.0166,0.052,0.00365
Halekii Deepwell,7.82,4.6,15,17,2.1,3.7,8.61,42,0,0.0015,21.08,0.01785,0.054466667,0.0078
Kahaluu Shaft,7.82,389,61.4,206.8,8,36.2,40.1,42,0.0099,0.0019,20.18,0.218,0.03875,0.00115
